mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_mean_21,mfcc_mean_22,mfcc_mean_23,mfcc_mean_24,mfcc_mean_25,mfcc_mean_26,mfcc_mean_27,mfcc_mean_28,mfcc_mean_29,mfcc_mean_30,mfcc_mean_31,mfcc_mean_32,mfcc_mean_33,mfcc_mean_34,mfcc_mean_35,mfcc_mean_36,mfcc_mean_37,mfcc_mean_38,mfcc_mean_39,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,mfcc_std_21,mfcc_std_22,mfcc_std_23,mfcc_std_24,mfcc_std_25,mfcc_std_26,mfcc_std_27,mfcc_std_28,mfcc_std_29,mfcc_std_30,mfcc_std_31,mfcc_std_32,mfcc_std_33,mfcc_std_34,mfcc_std_35,mfcc_std_36,mfcc_std_37,mfcc_std_38,mfcc_std_39,delta_mean_0,delta_mean_1,delta_mean_2,delta_mean_3,delta_mean_4,delta_mean_5,delta_mean_6,delta_mean_7,delta_mean_8,delta_mean_9,delta_mean_10,delta_mean_11,delta_mean_12,delta_mean_13,delta_mean_14,delta_mean_15,delta_mean_16,delta_mean_17,delta_mean_18,delta_mean_19,delta_mean_20,delta_mean_21,delta_mean_22,delta_mean_23,delta_mean_24,delta_mean_25,delta_mean_26,delta_mean_27,delta_mean_28,delta_mean_29,delta_mean_30,delta_mean_31,delta_mean_32,delta_mean_33,delta_mean_34,delta_mean_35,delta_mean_36,delta_mean_37,delta_mean_38,delta_mean_39,delta_std_0,delta_std_1,delta_std_2,delta_std_3,delta_std_4,delta_std_5,delta_std_6,delta_std_7,delta_std_8,delta_std_9,delta_std_10,delta_std_11,delta_std_12,delta_std_13,delta_std_14,delta_std_15,delta_std_16,delta_std_17,delta_std_18,delta_std_19,delta_std_20,delta_std_21,delta_std_22,delta_std_23,delta_std_24,delta_std_25,delta_std_26,delta_std_27,delta_std_28,delta_std_29,delta_std_30,delta_std_31,delta_std_32,delta_std_33,delta_std_34,delta_std_35,delta_std_36,delta_std_37,delta_std_38,delta_std_39,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,rms_mean,rms_std,zcr_mean,zcr_std,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,class
-590.8232,5.5740523,-10.476468,-5.2723722,-1.0548184,-2.3633459,-0.30192685,1.0254047,1.1024996,0.6686023,-0.5573448,-0.26747948,-1.0505087,0.4832077,-0.23346697,-0.45534012,-1.2913095,-0.05242143,-0.11618859,0.54438186,-0.9329306,-0.7353968,0.45295694,-0.26747867,-0.541072,-0.069177285,-0.31340948,0.40605617,-0.5405985,-0.41020167,0.13750137,0.70532817,-0.07071941,0.13273068,-0.5817825,-0.17227547,0.23824747,-0.05972869,-0.17258713,0.10280628,119.2679,19.307783,34.108513,17.263634,4.7783957,9.748627,1.8795519,3.856859,3.8075888,2.814362,2.6950965,1.4781656,3.9989693,1.8091406,1.5632515,1.954703,4.3257847,1.425181,1.4478123,1.9533738,3.4383714,2.3916583,1.7546048,1.2313479,2.1425514,1.3371925,1.2621316,1.4580244,2.3172991,1.9529128,1.918792,2.4143689,1.1374903,1.6151366,2.0267625,1.1889703,1.2925488,1.0605528,1.0025535,0.8214653,-2.8499804,-0.504983,0.71546096,0.3935259,0.15553162,0.3920721,0.07658959,-0.04033947,-0.12061294,-0.10994874,-0.034990333,0.04137387,0.13932249,-0.042010885,0.00063149637,-0.00062279584,0.07410072,0.022114325,0.005309191,-0.00023391619,0.13464071,0.040583495,-0.019234458,0.04366339,0.008089853,-0.035264608,0.003038612,-0.027506057,0.038982186,0.073116906,0.065780014,-0.041650776,-0.043057628,-0.047593493,0.024616815,-0.0074557625,-0.02820205,-0.011408392,0.018868066,-0.0036186997,11.117979,2.768383,3.1370633,1.4795789,0.60265815,1.3300579,0.31966183,0.4756674,0.4386383,0.39341262,0.55076593,0.28253043,0.4867881,0.19495285,0.3170499,0.27083483,0.43553314,0.15904811,0.3061576,0.31011748,0.47427478,0.25795913,0.254399,0.18910863,0.3077993,0.27473307,0.20219392,0.1692792,0.27173036,0.3557729,0.48013085,0.2417451,0.33202863,0.23108076,0.21099003,0.16653103,0.15852825,0.22201699,0.16149244,0.1278205,192.27289,605.4181,159.74977,502.22665,264.31073,831.3237,0.010405704,0.045711152,0.0104853455,0.034879208,15.437097,14.809053,15.6787,15.336056,15.703118,15.708263,17.653782,0.0391555,0.050310086,0.034714703,0.01651735,0.009505861,0.013751055,0.010483642,0.026427137,0.08116257,0.07285668,0.021324404,0.022885937,dog_bark
-62.527626,99.336624,-42.995586,51.073326,9.853778,7.9696927,11.197088,1.9291176,7.0303974,4.270228,-3.5847254,13.890946,-2.7644928,7.2725554,5.534419,1.8692906,1.725747,7.038668,-2.4422672,3.4736145,0.07422867,6.218862,-0.18934035,6.654603,-0.2636319,0.20248869,-3.6517172,0.7769082,-5.9063616,0.87029886,-1.2502267,2.2772193,-1.539243,0.76710856,-0.8787237,0.9087376,-2.6818535,1.7067986,-1.7936063,1.7613842,24.57272,10.733406,13.819675,9.559044,6.095806,8.687097,7.311095,9.74377,8.253659,7.7485533,8.529497,5.46664,7.9543743,5.7421923,7.885064,8.102492,5.767958,7.151275,7.0128055,6.7717037,6.411412,5.9796195,6.682146,5.946246,5.9820175,5.3408375,6.6834936,6.119776,6.0532193,5.0562367,6.2865233,6.3887386,5.9767284,4.903101,5.148487,5.1551895,4.8970523,5.4384637,5.7404404,5.103922,0.19446696,-0.1411483,-0.1290491,0.09974562,0.09554992,-0.037591793,-0.11011623,0.023221077,0.018113522,0.00053910713,0.049469158,0.110085614,-0.042767998,0.017100902,0.010774899,-0.032832377,-0.019926313,-0.0569091,-0.03224071,0.014966993,0.03154236,0.092461705,-0.078941695,0.0069148196,0.060906123,0.049715042,-0.04788003,0.032222744,0.08562187,-0.08555502,-0.113680944,0.036313497,0.08974567,-0.031015504,-0.014532086,0.08419619,-0.0549223,-0.06927233,0.103172556,0.04153881,2.9842076,1.503732,2.2758567,2.0855377,1.1550747,1.3291119,1.2590929,1.5149049,1.340693,1.1883157,1.4193994,0.9532739,1.2682109,1.0418332,1.239222,1.0962887,1.0961213,1.1558217,1.1783935,1.3212948,1.1824179,1.2018617,1.2820057,1.0355239,1.0649422,1.0278637,1.259738,1.1290396,1.1978662,1.1946937,1.1766772,1.106374,1.0393367,0.8688588,0.94157845,1.00024,0.9732208,0.83259135,0.9996525,0.9074278,2137.809,238.14082,1971.4468,160.36842,3996.0896,203.10555,0.14720346,0.03913281,0.13877913,0.038331594,12.454228,10.771496,14.771919,15.632052,18.379478,22.365294,47.178703,0.480411,0.4836829,0.54321253,0.53633183,0.5553812,0.5458665,0.44927034,0.4588086,0.51870763,0.5382143,0.46003842,0.45631465,children_playing
-46.74254,112.36253,-37.57807,43.195866,8.6318445,15.379366,16.882149,1.2330476,6.833121,3.9001155,-5.16885,8.300044,1.9041388,6.658551,3.8206117,2.901616,-3.5975327,0.82225436,-0.1186848,9.371599,2.4477525,5.3055253,-0.46876895,1.7232857,-2.8183043,2.0077462,-2.1846378,0.19048102,-2.8493907,2.3634913,0.06725748,-0.15453951,-5.285953,-0.79001606,-2.9792113,-0.20284493,-3.0880816,3.8080137,-0.09005561,0.86910236,14.287077,7.8736873,10.088603,14.93892,6.126142,7.374035,8.931965,6.497878,6.292148,5.1154423,6.203908,4.5049744,4.6655173,5.5306706,5.813183,7.724098,5.0413923,5.2229176,6.601527,6.1673794,6.6073914,5.823325,5.352742,6.4291453,4.6575336,4.401465,4.473943,4.880747,4.7989774,5.858784,5.622198,5.0552955,6.2819986,5.0277767,4.4860735,4.804223,4.7599382,4.926493,4.7257867,5.6654987,0.13704047,0.018613104,-0.042620417,-0.068649046,0.059403617,0.070752144,-0.0027458475,-0.11738419,0.053192038,0.0004965336,-0.023779891,0.051268563,0.022590037,-0.042729147,-0.017079426,0.010032801,0.028277867,0.009680704,0.016565979,-0.0037083942,-0.034202784,-0.04827749,-0.038129546,-0.10019988,-0.05072641,0.0022711423,0.048485942,-0.049401235,-0.004723428,0.086939655,0.064260766,-0.026943648,-0.05613341,0.00034604044,-0.022906465,-0.031031815,-0.008973118,0.048912458,0.087007515,0.044481464,1.8447851,1.2437763,1.576855,1.77388,1.090428,1.1987207,1.3218738,1.0062203,0.8069201,0.88681793,0.938052,0.8281015,0.89801794,0.773474,0.8919897,1.25035,0.94946045,0.80705976,0.89151764,0.8812397,1.260768,1.0512528,0.8542721,0.89363587,0.80424607,0.7181591,0.77283794,0.83150786,0.7732605,0.984465,0.87440807,0.7831035,0.831822,0.9168285,0.7895034,1.0501188,0.8152762,0.7887984,0.68438184,0.8376649,1846.7676,171.76682,1950.6957,96.84606,3695.994,270.32523,0.18649888,0.03530288,0.1020028,0.026121888,12.036737,10.639842,14.296888,16.122673,17.240334,21.39215,45.812553,0.59904623,0.60573095,0.51615864,0.45222977,0.5612911,0.63938224,0.5605724,0.48999244,0.43491462,0.48711038,0.54708666,0.5272185,children_playing
-69.77487,91.1966,-25.043556,42.78452,11.586844,5.0541644,12.431632,-1.5999488,6.6560636,1.4423548,-4.6248703,14.211005,0.43427122,6.992811,0.46317568,-0.49895218,3.3375695,4.208089,2.285111,3.3822718,-3.9330812,4.259821,-4.572517,2.6061785,-2.122688,0.1039306,-3.608313,0.1871984,-4.2828794,-1.2783616,-4.996307,1.2791545,0.63573426,1.4141307,-2.8311207,1.808179,-2.1784313,-0.4364795,-3.0513444,-0.17001352,26.554966,14.239892,16.000257,14.428456,9.137322,7.800811,8.994049,8.536013,8.772897,7.6128616,7.0053763,7.930024,6.097905,6.375894,6.278989,6.2416544,8.470151,9.101971,8.497558,7.7326765,7.650791,7.9723077,7.774389,6.054874,7.7097588,6.492915,6.6600175,8.078199,6.5347667,6.7103066,6.4985266,7.4897065,7.074054,5.844611,6.4649286,6.048745,6.3385177,5.2278943,6.630214,6.1844015,0.16473219,-0.0222463,0.22366819,-0.12696671,-0.049868103,0.0035968875,-0.08267189,0.069024146,-0.024902707,0.035811376,0.034138177,-0.074477874,-0.026945304,-0.044059478,0.010050084,-0.1416575,0.015425191,0.04414449,0.18451267,-0.024145786,-0.10432238,-0.062521964,-0.09742102,0.03290605,0.033146575,-0.026123581,-0.0054802317,0.015135366,0.08921322,0.0116351675,-0.02746925,-0.1310921,-0.064439215,0.0788469,0.051493954,0.0025366675,0.082206815,-0.0035020162,0.053466808,0.08801135,4.5742483,2.1668198,3.3664777,2.9320095,1.6622111,1.4796295,1.7298508,1.5909921,1.7634063,1.4182384,1.2678702,1.43008,1.0294297,1.1588182,1.0289851,0.980639,1.3827655,1.5736977,1.3722447,1.4713905,1.3936557,1.5332518,1.4028603,1.0142068,1.3886528,1.3030483,1.2381186,1.6836855,1.0886784,1.2792639,1.1417388,1.4003574,1.4126452,1.0365831,1.224652,1.067699,1.0005246,1.1111063,1.080088,1.0417135,2301.067,466.30243,2262.9043,323.50253,4502.9287,1052.568,0.1431574,0.054481905,0.1307606,0.047734458,12.266831,11.326506,17.87034,15.984422,17.385479,23.053883,45.408928,0.52710766,0.566951,0.49772322,0.50862545,0.4472965,0.3500104,0.3183663,0.37902278,0.3998537,0.4209453,0.42919746,0.45598298,children_playing
-26.328707,103.86223,-42.658787,50.690285,12.209422,15.873465,11.729268,1.5335847,11.292243,2.5486217,-7.290973,10.374461,2.1018367,4.6987934,6.5470266,5.372394,-2.1907523,1.9804038,-4.6603904,9.253263,2.1109698,4.173506,-0.43920118,3.2909658,-2.397835,1.7053796,-1.5515199,4.642389,-1.0033616,0.11767049,-2.9283946,-0.7740893,-0.98524565,2.5663686,-2.9768786,1.0717416,-1.8256017,3.2913966,-0.16967067,1.3925836,13.077677,7.3999443,9.13224,8.327264,7.6336374,6.85674,6.6006436,5.442247,6.6228147,5.52308,6.102019,6.6298466,4.824252,5.4194794,4.691829,5.820865,5.7132125,6.5176845,5.852553,7.576789,5.835907,5.5436506,5.870005,5.382795,4.6168475,4.0755568,4.667963,4.610158,5.29483,4.7357197,4.5821342,5.916599,4.4797034,4.123764,3.9720867,3.8709328,4.4706073,5.447583,6.197588,4.8887634,0.05525692,0.0094147585,-0.06758953,-0.08741006,0.037638437,0.011839249,-0.03068091,-0.048629496,0.09538129,0.00087512296,-0.031314272,0.00674107,0.018658856,0.034986522,0.10622801,0.018846005,-0.067820795,-0.08281905,-0.04709044,0.032449387,0.10998615,0.001826766,-0.08390633,-0.049116828,0.05576613,-0.0030542067,0.004299045,0.02161412,0.052184787,0.019284626,-0.0066726967,-0.097389996,-0.05285534,-0.021231199,0.046276297,0.05363201,0.022938125,-0.081188,-0.022979433,0.05234651,1.8999931,1.3185335,1.5187743,1.4971799,1.2713144,1.098344,1.1065301,0.9522199,0.71304685,0.9259237,0.9639176,1.0350718,0.8139344,0.8860238,0.85418034,0.7938994,1.0497612,1.0343753,1.2228862,1.1324137,1.0317332,0.9945173,1.0100939,0.9484779,0.8410544,0.7478444,0.7050391,0.76471615,0.90971255,0.8096183,0.92362374,0.97902256,0.74239063,0.7699362,0.6458576,0.70180506,0.7465864,1.0194978,0.7303894,0.95443237,2004.9471,153.40102,1951.2445,100.62321,3927.0713,184.32327,0.21570054,0.032666653,0.11810479,0.028839419,12.565382,11.158422,14.112419,15.437105,17.405233,21.269348,45.327435,0.7222634,0.7067921,0.5441638,0.46400937,0.46595463,0.44936645,0.45153385,0.50238186,0.4391233,0.42866582,0.50603306,0.6887735,children_playing
-53.767414,108.92061,-25.777704,47.518364,10.559941,17.494894,13.253758,4.494608,5.498723,3.7522383,-2.0476546,8.526798,3.1174972,6.375348,3.0750608,0.58692425,-3.1064703,3.1254735,-1.9369688,6.500384,0.37915418,3.516531,-2.1723995,2.847848,-2.2006338,1.3538193,-3.562958,1.5216297,0.72633684,2.9288604,-1.8457675,0.58760214,-3.391486,2.127186,-2.128772,0.22620985,-2.5790472,1.8247299,-1.7451384,0.06333952,13.167103,8.554797,10.324904,6.8084564,9.100895,7.0580177,6.03568,5.832031,5.779391,5.289656,4.812978,4.7069387,4.9928155,4.6861925,4.833887,5.319349,5.105689,4.396629,5.00204,4.9006495,5.825379,5.0663314,5.1326323,4.7146964,4.1565075,4.9306335,5.0675497,5.138084,5.7716026,5.5093746,3.8540595,5.6008677,5.078861,4.401435,3.9467306,3.8544285,4.215258,4.1837473,4.1992745,4.9212193,0.011596206,0.13116866,0.01845673,-0.05324768,0.08600555,-0.0041493434,0.030989239,0.09459005,-0.058153335,0.01439999,-0.0021277564,-0.029822918,0.0061999965,-0.006558374,0.038662482,0.0061690793,-0.09488012,-0.045806285,-0.03063015,0.025090406,0.012349784,0.027523248,0.014048689,0.06010662,0.069482826,0.023271153,-0.008568747,0.060998645,0.060610462,-0.06266948,0.021110673,0.041233446,-0.09036772,-0.01673569,-0.015694847,-0.070426695,-0.04666222,0.00016795969,-0.093879744,-0.012615761,2.358127,1.6435968,1.8308254,1.4063548,1.2306734,1.1659493,1.1506159,0.996254,0.8616571,0.8636719,0.84352005,0.8283861,0.8663389,0.8012348,0.8149278,0.9119968,1.0128895,0.80871606,0.78478724,0.81053644,0.78605026,0.9033326,0.93120617,0.78704494,0.69766676,0.7635722,0.83549124,1.0019135,0.8734352,0.87370664,0.6267356,1.0526103,0.938296,0.7331665,0.65433615,0.6631601,0.798274,0.8056807,0.809617,0.82793105,1796.3247,226.69455,2057.5376,142.29428,3799.4902,385.83563,0.21329604,0.06458311,0.07331839,0.030733746,13.815098,11.481427,13.680738,15.519564,15.854803,19.00253,45.65154,0.63006926,0.6212291,0.5866562,0.5873161,0.5708594,0.5273528,0.48591495,0.5040014,0.4217293,0.42066598,0.48763058,0.6115766,children_playing
-53.316875,109.28011,-18.45655,46.043015,11.825916,17.288229,10.015719,3.0386167,6.914886,2.9937267,-0.9570158,11.985637,2.7677848,6.27371,1.4491737,1.1917877,-2.5088713,1.8236705,-2.6049902,4.2264743,-1.3500395,6.8277607,0.062223755,4.696486,-0.44798005,0.3748178,-1.8574898,1.1718446,-1.236962,2.7297666,-0.6328589,0.34185764,-3.7605975,1.0527534,-2.1252208,2.664707,-1.8550094,2.2153208,0.104491085,0.91642225,12.988758,9.848545,9.406054,7.4331307,6.9161167,6.9426055,6.5738463,5.592983,5.3323994,5.2662272,5.7498198,4.9740477,4.8866863,4.925969,3.9463973,4.324659,4.579917,5.5273776,5.0868716,5.1253695,4.963813,5.230233,5.090551,5.571065,4.4786673,5.089055,4.5661993,4.8888016,4.958027,5.024906,4.6594915,4.792196,3.9611073,4.492682,3.7315679,4.03957,4.500553,4.0942574,4.59739,3.9770951,-0.06714961,0.01589903,0.043654162,0.003754307,0.026806854,-0.050859187,-0.005664379,0.050617274,0.031495113,-0.08497841,-0.015857685,-0.049517516,0.055993002,0.04011498,0.06985542,-0.0055920486,-0.04878673,-0.0146795185,0.046330787,-0.042273644,0.01490086,0.038326133,-0.0125488825,0.020326948,-0.015496703,-0.025295684,-0.043036487,-0.014689454,0.056463107,0.040767804,0.020905208,0.0700999,-0.051639296,-0.08818883,-0.057053186,-0.030207764,-0.020717936,-0.028996417,0.06302708,-0.0012289602,1.8959727,1.6721647,1.6016076,1.1304988,1.1621232,1.143832,1.047595,0.9092998,0.98616004,1.0047578,1.0288124,0.89585525,0.913573,0.8734621,0.7185959,0.741614,0.7878192,1.1231705,0.9190055,0.87792486,0.8999854,0.95219207,0.8269769,0.9696365,0.7818812,0.89285165,0.73061395,0.9724555,0.9532701,0.91593784,0.8684894,0.8958213,0.76210696,0.9230098,0.67985326,0.82022953,0.8156669,0.7961037,0.850337,0.78512,1767.92,221.54457,2122.3518,174.4407,3847.6597,448.96158,0.19770642,0.02181964,0.07345669,0.017327996,12.594665,11.12492,14.213846,14.8527775,16.341124,18.510296,46.93189,0.676175,0.6744028,0.6619375,0.5799016,0.5315263,0.56912374,0.59758025,0.6119879,0.55671966,0.5621651,0.619533,0.6289032,children_playing
-36.180008,106.52766,-19.124525,39.871788,4.8239555,22.051247,16.051298,7.6270456,6.465357,5.7486677,-2.0007894,9.237299,1.5500598,2.9796615,2.2389245,0.55386144,0.0683756,6.210843,0.0160952,3.8128395,-0.92303944,2.910592,-1.1760966,3.3959272,-3.577422,0.17304543,-2.66362,-0.8366387,-1.9108844,1.6138265,-0.11401579,0.58531195,-2.4161282,2.7829313,-3.2590988,0.43626827,-1.8451539,-0.39152575,-3.7904036,2.274215,14.2023,5.7174926,10.340892,7.218045,5.617911,7.594593,4.737955,4.9719625,5.527054,4.6784477,4.8873563,4.435313,5.3182387,4.786525,4.633432,4.665512,5.357389,4.54687,4.5698605,5.108109,4.7440305,4.5169578,4.2398744,4.3367033,4.060537,3.9269853,4.1998367,4.614217,4.0823574,3.9904375,4.2310195,4.353256,3.891518,3.3018596,3.6211355,3.5305195,3.6746917,3.4287934,3.6352298,4.3596325,-0.16828051,-0.035274968,0.12882036,-0.040459033,-0.044306908,-0.051922772,0.04910391,0.019915886,-0.014385932,-0.0899278,-0.038510732,0.031073686,0.05835702,0.055489555,0.019359032,0.025170673,-0.03488468,-0.09935827,-0.04985375,0.006777729,0.004565884,0.012678442,-0.049389698,-0.03412107,0.013139493,0.016731326,-0.04024974,0.007278977,0.01604084,0.03161156,0.06698508,-0.027357148,-0.046339314,-0.02302003,-0.0018977926,-0.0033655937,0.030678302,0.026778825,-0.00401552,-0.052908417,1.7234687,0.97771615,1.4011662,1.1966822,1.0715334,0.9846102,0.8353635,0.8081598,0.81526834,0.7856635,0.8538407,0.8108176,0.9464596,0.8668821,0.90735036,0.828528,0.9814929,0.8027863,0.7912126,0.8998865,0.76011926,0.8280805,0.76214975,0.82962084,0.76724005,0.7002226,0.6912079,0.7659182,0.698708,0.63545436,0.8225606,0.73533994,0.6658922,0.5798744,0.5963408,0.62989664,0.5311268,0.6421669,0.66862965,0.7505127,1818.1885,163.20361,2154.988,98.524376,3989.1814,259.97183,0.23094454,0.03107332,0.072240226,0.020043733,13.044878,10.949634,13.803349,14.440017,16.590029,17.87467,45.56382,0.71797264,0.681928,0.7195462,0.6828246,0.6242428,0.62563556,0.5919947,0.51799953,0.51672935,0.5679753,0.6311054,0.69853866,children_playing
-62.386898,118.13225,-29.881447,50.494637,5.1781855,21.636282,13.622515,7.285783,8.189791,3.133917,-2.2993999,13.043378,0.59576637,8.1511345,1.7542739,2.1690512,-1.5706269,3.4191563,-3.3566687,3.238213,-0.30630806,4.1084237,0.77369726,3.9287992,-0.77851,-1.4466082,-1.7278229,-0.39336413,-1.3516034,0.9060987,-0.11923562,2.4686522,-1.18362,1.8826472,-1.9017389,0.22250105,-3.573004,1.31388,-1.7469559,-1.1393834,16.320642,8.904222,10.385537,8.190067,10.280193,6.439862,5.9711742,7.322611,5.910616,6.9224057,6.292605,4.9344482,4.8737607,6.8653564,5.583574,5.079392,4.4408298,7.403111,5.6375895,7.759821,5.023051,5.5538063,5.960821,4.904866,5.317138,4.3752956,5.1011596,4.2949405,4.77016,5.1870675,5.4881473,5.2451005,4.2655926,4.2952814,3.7853234,4.528718,4.5011687,4.200833,4.159204,4.776698,0.22329573,-0.013165308,-0.07709314,0.05061385,-0.0018044179,-0.10475558,0.0033169289,0.062813446,-0.091663755,-0.12460327,0.055437893,0.05390796,-0.035400447,0.011980622,0.078002594,0.033993103,-0.08813911,-0.033919677,0.01324472,-0.018089287,0.01884591,0.044768516,0.011530138,-0.015415212,0.03352308,0.026754787,0.036745913,0.027589688,-0.019529447,-0.0016779348,0.01295496,0.015746517,0.014858318,-0.0406285,0.02229114,-0.006419485,-0.05884259,-0.03829224,0.0016513498,-0.04712815,2.3364015,1.6206899,1.4154595,1.3815954,1.4232948,1.2308732,0.941057,1.4067494,0.9114225,1.2809416,1.0430052,0.75473446,0.9157849,1.1759202,0.86085093,0.8878306,0.849049,1.1138339,0.9233155,1.0949619,0.9166408,1.0850092,1.009402,0.8206509,1.0688399,0.67455757,0.8520479,0.8195968,0.7381881,0.8645997,0.9878257,0.9398719,0.7572279,0.8148465,0.6970155,0.7193298,0.7329318,0.84328544,0.7176092,0.7723644,1654.5934,223.06497,1936.0508,97.3973,3624.8596,395.0121,0.21038519,0.03361558,0.06677599,0.02914406,13.581194,12.047801,13.761193,14.673439,16.784075,19.976765,47.748108,0.7755857,0.69904524,0.5937441,0.56340647,0.5549284,0.49861464,0.42978108,0.4022281,0.44221807,0.5616934,0.6547648,0.7459149,children_playing
-485.51166,17.82159,-0.2820331,-1.8276677,-1.5678005,-2.6736014,-5.170746,-1.0596241,-1.4994783,-1.9576751,-1.6937683,-0.123145156,-2.312169,-1.9184221,-2.128335,-0.4993391,-1.4981931,-0.76720744,-1.4181042,0.6630345,-0.37343043,0.40672562,-0.15715568,-0.50336444,-1.2055649,-0.4327788,-1.1397444,-0.48214775,-0.8764363,0.57797635,-1.440412,-0.14116256,-0.3038937,0.57426935,-1.1564887,-0.7693545,-0.37154427,0.60304826,-0.97210413,-0.13181068,208.53355,39.57275,2.6175537,4.487355,5.765323,6.3859816,11.761505,2.928168,3.8492246,6.129178,4.295892,1.714465,5.264228,4.6962337,5.073077,2.073478,3.4558272,2.164714,3.7304559,1.856672,1.6939896,2.0448437,2.2635584,2.1912591,3.5219667,2.4485924,3.1053808,1.944111,2.3948557,1.8221079,3.8997722,1.924807,1.9931018,2.2799094,3.2272708,2.2843468,1.9627162,2.3502336,3.202667,2.4093766,-2.7585905,-0.75042665,-0.02264802,0.06500345,0.10768748,0.06596364,0.19104491,0.070184745,0.117339864,0.0051937024,0.054584503,0.019427368,0.11512862,0.07623012,0.10483726,0.028121317,0.059640907,0.041750498,0.11563903,-0.01227793,0.0036281252,-0.03201978,-0.069784924,-0.025679164,-0.04530457,-0.046391614,-0.016774982,0.01641359,0.032434918,-0.0054948945,0.056379363,0.033914406,0.042373884,0.022659954,-0.029665224,0.02847752,0.028250348,0.022094445,-0.015161983,0.041279264,15.176955,3.4176874,0.44997704,0.56454253,1.1029696,0.5449288,0.76926607,0.372141,0.45852622,0.8442548,0.37394813,0.18498528,0.5204803,0.46449113,0.4066923,0.3111752,0.29576027,0.2154961,0.50115615,0.2084985,0.25129652,0.33897367,0.4825223,0.3538698,0.509654,0.57881147,0.4567283,0.29151803,0.29713285,0.2755307,0.40993083,0.36949772,0.38922966,0.40748522,0.5017341,0.29619738,0.3742934,0.43007228,0.573964,0.43523753,388.39853,866.2182,448.2341,985.038,880.37195,1998.5853,0.037012096,0.08432505,0.019528428,0.045797907,13.51957,12.323269,12.743225,12.704976,13.6545,13.072629,18.088223,0.032077216,0.03519742,0.07245787,0.07091971,0.13242179,0.11883421,0.04520119,0.04327409,0.04462532,0.03799166,0.03154272,0.05856035,car_horn
